Title,Year,Rating,Rank
In the Mood for Love,2000,8.1,599
God's Own Country,2017,7.6,600
The Story of the Last Chrysanthemum,1939,7.8,301
Nashville,1975,7.6,302
And Life Goes On,1992,7.9,303
Gimme Shelter,1970,7.8,304
Miracle in Milan,1951,7.6,305
Monsieur Hulot's Holiday,1953,7.3,306
The Circus,1928,8.1,307
The Discreet Charm of the Bourgeoisie,1972,7.8,308
Gangs of Wasseypur,2012,8.2,309
That Obscure Object of Desire,1977,7.8,310
The Ogre of Athens,1956,7.9,311
Gravity,2013,7.7,312
Before Midnight,2013,7.9,313
Alien,1979,8.5,314
Close-Up,1990,8.2,315
L.A. Confidential,1997,8.2,316
Short Term 12,2013,7.9,317
The Umbrellas of Cherbourg,1964,7.8,318
El,1953,7.9,319
Moonlight,2016,7.4,320
Red Desert,1964,7.5,321
Emmet Otter's Jug-Band Christmas,1977,8.2,322
The Lord of the Rings: The Return of the King,2003,9,323
7th Heaven,1927,7.6,324
Vagabond,1985,7.7,325
Room,2015,8.1,326
 American Masters,1985,8.4,327
Simon of the Desert,1965,7.9,328
Saving Private Ryan,1998,8.6,329
Days and Nights in the Forest,1970,8.1,330
Aliens,1986,8.4,331
In the Heat of the Sun,1994,8.1,332
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,333
A Gentle Woman,1969,7.4,334
The Mummy,1969,7.7,335
The Conversation,1974,7.7,336
A Day in the Country,1946,7.5,337
Cairo Station,1958,7.5,338
Eighth Grade,2018,7.4,339
Eternal Sunshine of the Spotless Mind,2004,8.3,340
The Man Who Would Be King,1975,7.8,341
The Red Balloon,1956,8.1,342
Solaris,1972,8,343
Andhadhun,2018,8.2,344
Investigation of a Citizen Above Suspicion,1970,8,345
"A Bread Factory, Part Two",2018,6.7,346
Fury,1936,7.8,347
Aladdin,1992,8,348
Persepolis,2007,8,349
Rififi,1955,8.1,350
La haine,1995,8.1,351
Shadows of Forgotten Ancestors,1965,7.8,352
When We Were Kings,1996,7.9,353
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,354
A Woman Under the Influence,1974,8.1,355
Night Will Fall,2014,8,356
The Ballad of Narayama,1983,7.8,357
Unforgiven,1992,8.2,358
The Red Circle,1970,7.9,359
Amadeus,1984,8.4,360
Still Walking,2008,7.9,361
My Man Godfrey,1936,7.9,362
Late Autumn,1960,7.9,363
The Little Foxes,1941,7.9,364
Back to the Future,1985,8.5,365
Wings of Desire,1987,7.9,366
Raging Bull,1980,8.1,367
Pixote,1980,7.9,368
Neon Genesis Evangelion: The End of Evangelion,1997,8.1,369
Back in the U.S.,2002,7.9,370
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,8.2,371
The Tale,2018,7.2,372
Contempt,1963,7.5,373
Swing Time,1936,7.5,374
Kings of the Road,1976,7.7,375
Cinema Paradiso,1988,8.5,376
Z,1969,8.2,377
The Fallen Idol,1948,7.6,378
Vampyr,1932,7.4,379
Cléo from 5 to 7,1962,7.8,380
The Emigrants,1971,8,381
Killer of Sheep,1978,7.2,382
Diary of a Country Priest,1951,7.8,383
Floating Weeds,1959,7.9,384
Smiles of a Summer Night,1955,7.7,385
Manchester by the Sea,2016,7.8,386
No Country for Old Men,2007,8.2,387
Beauty and the Beast,1946,7.9,388
The Mortal Storm,1940,7.7,389
Stalag 17,1953,8,390
"4 Months, 3 Weeks and 2 Days",2007,7.9,391
Gett,2014,7.7,392
The Manchurian Candidate,1962,7.9,393
The African Queen,1951,7.7,394
The Big Heat,1953,7.9,395
Jean de Florette,1986,8.1,396
I Am a Fugitive from a Chain Gang,1932,8.2,397
Finding Nemo,2003,8.2,398
Up,2009,8.3,399
Reservoir Dogs,1992,8.3,400
Bad Genius,2017,7.6,801
Mad Love,1969,7.3,802
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,803
Dawn of the Planet of the Apes,2014,7.6,804
The Guilty,2018,7.5,805
Central Station,1998,8,806
Sita Sings the Blues,2008,7.6,807
Thunder Soul,2010,7.6,808
Little Fugitive,1953,7.5,809
The Chant of Jimmie Blacksmith,1978,7.3,810
Utamaro and His Five Women,1946,7,811
Hedwig and the Angry Inch,2001,7.7,812
Le Doulos,1962,7.7,813
Life Is Sweet,1990,7.4,814
La Belle Noiseuse,1991,7.5,815
Accattone,1961,7.6,816
The Hunchback of Notre Dame,1939,7.8,817
Four Adventures of Reinette and Mirabelle,1987,7.5,818
General Della Rovere,1959,7.7,819
Blade Runner 2049,2017,8,820
Seduced and Abandoned,1964,7.9,821
Baby Driver,2017,7.5,822
The Bourne Ultimatum,2007,8,823
20 Feet from Stardom,2013,7.4,824
Say Anything,1989,7.3,825
Rebels of the Neon God,1992,7.5,826
The Wind Will Carry Us,1999,7.4,827
The Saragossa Manuscript,1965,7.8,828
This Happy Breed,1944,7.3,829
Curse of the Demon,1957,7.4,830
The Trial of Joan of Arc,1962,7.4,831
Room at the Top,1958,7.5,832
Lola,1981,7.4,833
Insiang,1976,7.5,834
City of Life and Death,2009,7.7,835
Booksmart,2019,7.1,836
A Quiet Place,2018,7.5,837
Moana,2016,7.6,838
Weekend,1967,6.9,839
Don't Look Now,1973,7.1,840
Wagon Master,1950,7.1,841
Ida,2013,7.4,842
The Long Good Friday,1980,7.6,843
Branded to Kill,1967,7.2,844
A New Leaf,1971,7.3,845
Maborosi,1995,7.5,846
The Hairdresser's Husband,1990,7.1,847
7 Men from Now,1956,7.4,848
The Missing Picture,2013,7.3,849
Key Largo,1948,7.7,850
Adam's Rib,1949,7.4,851
Monsieur Hire,1989,7.5,852
The Magician,1958,7.6,853
Sawdust and Tinsel,1953,7.4,854
Alice in the Cities,1974,7.9,855
Les vampires,1915,7.3,856
Que Viva Mexico,1979,7.4,857
Cold War,2018,7.5,858
Monsieur Lazhar,2011,7.5,859
Wadjda,2012,7.5,860
Deep Red,1975,7.5,861
The More the Merrier,1943,7.6,862
Man of the West,1958,7.1,863
Project Nim,2011,7.4,864
Phoenix,2014,7.3,865
120 BPM,2017,7.4,866
Mafioso,1962,7.6,867
Atlantic City,1980,7.3,868
Gilda,1946,7.6,869
The Band Wagon,1953,7.4,870
Dragon Inn,1967,7.4,871
Sans Soleil,1983,7.8,872
Oliver Twist,1948,7.8,873
The Golden Age,1930,7.2,874
Incredibles 2,2018,7.6,875
127 Hours,2010,7.5,876
Juno,2007,7.5,877
Beasts of No Nation,2015,7.7,878
Journey to Italy,1954,7.3,879
Can You Ever Forgive Me?,2018,7.1,880
Park Row,1952,7.2,881
High Hopes,1988,7.4,882
Inside Llewyn Davis,2013,7.4,883
Aquarius,2016,7.4,884
